CallID,VesselName,ArrivalDate,Arrival,DepartDate,Depart
9760512-240707,MSC Meraviglia,7/7/2024,6:34,7/7/2024,16:00
9241061-240706,Queen Mary 2,7/6/2024,6:36,7/6/2024,17:03
9230402-240705,Island Princess,7/5/2024,7:40,7/5/2024,16:44
9760512-240630,MSC Meraviglia,6/30/2024,6:38,6/30/2024,15:40
9241061-240629,Queen Mary 2,6/29/2024,10:56,6/29/2024,21:33
9230402-240625,Island Princess,6/25/2024,7:40,6/25/2024,16:02
9333151-240625,Emerald Princess,6/25/2024,8:19,6/26/2024,14:03
9760512-240623,MSC Meraviglia,6/23/2024,6:37,6/23/2024,15:46
9760512-240616,MSC Meraviglia,6/16/2024,6:34,6/16/2024,15:38
9241061-240615,Queen Mary 2,6/15/2024,10:43,6/15/2024,21:02
9230402-240614,Island Princess,6/14/2024,7:32,6/14/2024,15:56
9760512-240609,MSC Meraviglia,6/9/2024,6:40,6/9/2024,14:53
9230402-240604,Island Princess,6/4/2024,6:35,6/4/2024,16:32
9760512-240602,MSC Meraviglia,6/2/2024,6:49,6/2/2024,15:59
9760512-240526,MSC Meraviglia,5/26/2024,6:36,5/26/2024,15:51
9241061-240523,Queen Mary 2,5/23/2024,6:44,5/23/2024,17:48
9760512-240519,MSC Meraviglia,5/19/2024,6:40,5/19/2024,15:49
9760512-240512,MSC Meraviglia,5/12/2024,6:50,5/12/2024,16:49
9241061-240505,Queen Mary 2,5/5/2024,7:01,5/5/2024,18:19
9760512-240504,MSC Meraviglia,5/4/2024,6:36,5/4/2024,16:42
9760512-240428,MSC Meraviglia,4/28/2024,6:44,4/28/2024,15:51
9585285-240424,MSC Divina,4/24/2024,7:10,4/25/2024,18:01
9760512-240418,MSC Meraviglia,4/18/2024,6:45,4/18/2024,16:10
9760512-240407,MSC Meraviglia,4/7/2024,6:55,4/7/2024,15:58
9387073-240402,MSC Poesia,4/2/2024,6:30,4/4/2024,6:33
9760512-240331,MSC Meraviglia,3/31/2024,7:05,3/31/2024,15:42
9760512-240324,MSC Meraviglia,3/24/2024,6:50,3/24/2024,15:51
9760512-240317,MSC Meraviglia,3/17/2024,6:45,3/17/2024,15:05
9760512-240310,MSC Meraviglia,3/10/2024,6:50,3/10/2024,14:52
9760512-240303,MSC Meraviglia,3/3/2024,7:17,3/3/2024,15:09
9760512-240225,MSC Meraviglia,2/25/2024,6:48,2/25/2024,15:04
9760512-240218,MSC Meraviglia,2/18/2024,6:51,2/18/2024,15:47
9760512-240211,MSC Meraviglia,2/11/2024,6:37,2/11/2024,14:50
9760512-240204,MSC Meraviglia,2/4/2024,6:47,2/4/2024,15:19
9760512-240126,MSC Meraviglia,1/26/2024,6:54,1/26/2024,18:30
9760512-240115,MSC Meraviglia,1/15/2024,6:55,1/15/2024,15:48
9760512-240106,MSC Meraviglia,1/6/2024,6:41,1/6/2024,18:18
9241061-240103,Queen Mary 2,1/3/2024,6:39,1/3/2024,21:32


